ENTRADAS:
Dado:FxAJK, Chave :0, OP: 1
Dado:sjPHs, Chave :199, OP: 35
Dado:cbnTN, Chave :219, OP: 16
Dado:qfVJI, Chave :235, OP: 1
Dado:OavFe, Chave :233, OP: 4
Dado:UWONe, Chave :204, OP: 34
Dado:nUHPP, Chave :199, OP: 40
Dado:IpsJo, Chave :239, OP: 1
Dado:ZOTeL, Chave :239, OP: 2
Dado:whssd, Chave :239, OP: 3
Dado:PrMBG, Chave :239, OP: 4
Dado:cBBUc, Chave :243, OP: 1
Dado:ROPAH, Chave :239, OP: 6
Dado:XFYQo, Chave :239, OP: 7
Dado:DYxsM, Chave :239, OP: 8
Dado:rMtrC, Chave :247, OP: 1
Dado:TgJQF, Chave :247, OP: 2
Dado:lbnRb, Chave :239, OP: 11
Dado:cFDlT, Chave :239, OP: 12
Dado:JhAIR, Chave :239, OP: 13
Dado:YDxTA, Chave :239, OP: 14
Dado:FtMvF, Chave :239, OP: 15
Dado:KkZBN, Chave :249, OP: 6
Dado:WDtXg, Chave :255, OP: 1
Dado:nLTsW, Chave :239, OP: 18
Dado:gsyfT, Chave :244, OP: 14
Dado:ZKSMi, Chave :249, OP: 10
Dado:cLsgj, Chave :259, OP: 1
Dado:cwQid, Chave :260, OP: 1
Dado:ZSKol, Chave :249, OP: 13
Dado:SNjse, Chave :243, OP: 20
Dado:BDgRJ, Chave :263, OP: 1
Dado:hlFex, Chave :239, OP: 26
Dado:eeBjB, Chave :265, OP: 1
Dado:avagB, Chave :261, OP: 6
Dado:DwOMx, Chave :267, OP: 1
Dado:tkiXH, Chave :259, OP: 10
Dado:jOivG, Chave :269, OP: 1
Dado:agQXp, Chave :270, OP: 1
Dado:QpeBR, Chave :271, OP: 1
Dado:hmWNq, Chave :231, OP: 42
Dado:NIGNr, Chave :273, OP: 1
Dado:uvkry, Chave :241, OP: 34
Dado:CBytt, Chave :61, OP: 215
Dado:UjdxS, Chave :0, OP: 277
Dado:dxtyi, Chave :0, OP: 278
Dado:faUnF, Chave :989, OP: 290
Dado:SPMlS, Chave :279, OP: 1
Dado:RxCCQ, Chave :279, OP: 2
Dado:DEZQs, Chave :279, OP: 3
Dado:gyWtY, Chave :280, OP: 3
Dado:esHVH, Chave :279, OP: 5
Dado:miqvU, Chave :284, OP: 1
Dado:PWvAF, Chave :279, OP: 7
Dado:tFwgt, Chave :279, OP: 8
Dado:MyiAy, Chave :284, OP: 4
Dado:VSYvr, Chave :281, OP: 8
Dado:eibSt, Chave :289, OP: 1
Dado:mbTCc, Chave :287, OP: 4
Dado:eeQSV, Chave :280, OP: 12
Dado:hCtQB, Chave :287, OP: 6
Dado:oFMEV, Chave :289, OP: 5
Dado:QyTWC, Chave :283, OP: 12
Dado:HNjLa, Chave :295, OP: 1
Dado:PMSnM, Chave :279, OP: 18
Dado:DyYTl, Chave :291, OP: 7
Dado:BwWLu, Chave :297, OP: 2
Dado:mduWA, Chave :299, OP: 1
Dado:madsy, Chave :299, OP: 2
Dado:wJuNo, Chave :301, OP: 1
Dado:FibrX, Chave :299, OP: 4
Dado:tWeKT, Chave :291, OP: 13
Dado:MdEgo, Chave :299, OP: 6
Dado:FTQrh, Chave :279, OP: 27
Dado:jEjyT, Chave :283, OP: 24
Dado:wOlmI, Chave :307, OP: 1
Dado:MEdLg, Chave :299, OP: 10
Dado:yFIdN, Chave :309, OP: 1
Dado:lQbfY, Chave :303, OP: 8
Dado:flRKf, Chave :311, OP: 1
Dado:kLtSM, Chave :311, OP: 2
Dado:wyVhH, Chave :313, OP: 1
Dado:uCUmF, Chave :314, OP: 1
Dado:unCYb, Chave :289, OP: 27
Dado:nTHYe, Chave :279, OP: 38
Dado:xQJdi, Chave :279, OP: 39
Dado:hfrJT, Chave :311, OP: 8
Dado:TUXfn, Chave :319, OP: 1
Dado:EtPbV, Chave :319, OP: 2
Dado:HswHB, Chave :319, OP: 3
Dado:FLLAC, Chave :319, OP: 4
Dado:wApWh, Chave :319, OP: 5
Dado:KWIvK, Chave :324, OP: 1
Dado:vRFMg, Chave :319, OP: 7
Dado:Yoqvc, Chave :326, OP: 1
Dado:JtuDR, Chave :327, OP: 1
Dado:JomgB, Chave :325, OP: 4
Dado:sbOvV, Chave :329, OP: 1
Dado:txGWU, Chave :319, OP: 12
Dado:DSgGA, Chave :331, OP: 1
Dado:xYcDS, Chave :319, OP: 14
Dado:VMaaM, Chave :333, OP: 1
Dado:nRBPB, Chave :319, OP: 16
Dado:BDaUW, Chave :335, OP: 1
Dado:YxJTE, Chave :319, OP: 18
Dado:CVWOe, Chave :293, OP: 45
Dado:whFcG, Chave :319, OP: 20
Dado:nQJSg, Chave :339, OP: 1
Dado:Bnmbg, Chave :339, OP: 2
Dado:kJEjL, Chave :341, OP: 1
Dado:NSSgR, Chave :341, OP: 2
Dado:tVELo, Chave :343, OP: 1
Dado:mkXiW, Chave :343, OP: 2
Dado:UCGiO, Chave :344, OP: 2
Dado:AluYR, Chave :339, OP: 8
Dado:AulKl, Chave :339, OP: 9
Dado:SWSdo, Chave :342, OP: 7
Dado:niurP, Chave :349, OP: 1
Dado:bwFMT, Chave :339, OP: 12
Dado:kXaRH, Chave :351, OP: 1
Dado:rEHYh, Chave :351, OP: 2
Dado:jaaQP, Chave :353, OP: 1
Dado:thDgf, Chave :351, OP: 4
Dado:vaVrg, Chave :355, OP: 1
Dado:avVtr, Chave :355, OP: 2
Dado:StMbk, Chave :355, OP: 3
Dado:gwWuk, Chave :358, OP: 1
Dado:XFGeq, Chave :359, OP: 1
Dado:xOkJJ, Chave :359, OP: 2
Dado:wPvjC, Chave :359, OP: 3
Dado:cPlFv, Chave :359, OP: 4
Dado:PaoaQ, Chave :359, OP: 5
Dado:mXPVl, Chave :359, OP: 6
Dado:UvpWb, Chave :359, OP: 7
Dado:uLPhu, Chave :359, OP: 8
Dado:LLnZj, Chave :359, OP: 9
Dado:XcYbZ, Chave :367, OP: 2
Dado:qkFuq, Chave :369, OP: 1
Dado:AbeeW, Chave :369, OP: 2
Dado:ICFUP, Chave :369, OP: 3
Dado:IGThr, Chave :371, OP: 2
Dado:VOiOk, Chave :369, OP: 5
Dado:aKUMa, Chave :374, OP: 1
Dado:HYHwQ, Chave :375, OP: 1
Dado:KiuDN, Chave :374, OP: 3
Dado:chjbu, Chave :375, OP: 3
Dado:OqMXs, Chave :378, OP: 1
Dado:yaCZJ, Chave :378, OP: 2
Dado:awCQg, Chave :380, OP: 1
Dado:wNZLB, Chave :379, OP: 3
Dado:jLvLP, Chave :607, OP: 776
Dado:pGuuC, Chave :383, OP: 1
Dado:Ojtsp, Chave :383, OP: 2
Dado:EsGJu, Chave :384, OP: 2
Dado:HyRZl, Chave :383, OP: 4
Dado:jovCv, Chave :387, OP: 1
Dado:bJETd, Chave :387, OP: 2
Dado:mfiYO, Chave :389, OP: 1
Dado:JEbQD, Chave :387, OP: 4
Dado:BysrG, Chave :389, OP: 3
Dado:XowBJ, Chave :391, OP: 2
Dado:fmikB, Chave :389, OP: 5
Dado:Vlmuw, Chave :391, OP: 4
Dado:evikv, Chave :389, OP: 7
Dado:qugAH, Chave :762, OP: 635
Dado:CMYEo, Chave :150, OP: 248
Dado:JSdMq, Chave :199, OP: 200
Dado:doJOk, Chave :399, OP: 1
Dado:IPUHY, Chave :399, OP: 2
Dado:uRdoR, Chave :399, OP: 3
Dado:GGShQ, Chave :402, OP: 1
Dado:IRreK, Chave :403, OP: 1
Dado:FADjm, Chave :399, OP: 6
Dado:erdfS, Chave :399, OP: 7
Dado:FVxEV, Chave :399, OP: 8
Dado:hQCXc, Chave :407, OP: 1
Dado:XSMoG, Chave :407, OP: 2
Dado:RadKG, Chave :399, OP: 11
Dado:kxnvL, Chave :399, OP: 12
Dado:eOLHT, Chave :403, OP: 9
Dado:TLWDH, Chave :407, OP: 6
Dado:jvqVk, Chave :403, OP: 11
Dado:iGqZr, Chave :414, OP: 1
Dado:hCpGN, Chave :415, OP: 1
Dado:TBdyn, Chave :399, OP: 18
Dado:KLHjD, Chave :399, OP: 19
Dado:tEgIm, Chave :411, OP: 8
Dado:JRAKo, Chave :419, OP: 1
Dado:xXAmY, Chave :399, OP: 22
Dado:VkoRe, Chave :421, OP: 1
Dado:CMaRE, Chave :422, OP: 1
Dado:gtXXj, Chave :423, OP: 1
Dado:qKSuc, Chave :424, OP: 1
Dado:gWBGE, Chave :425, OP: 1
Dado:AsSMn, Chave :424, OP: 3
Dado:lgLKU, Chave :423, OP: 5
Dado:xUfFp, Chave :399, OP: 30
Dado:QZCZm, Chave :429, OP: 1
Dado:mMqmU, Chave :408, OP: 23
Dado:trvnN, Chave :431, OP: 1
Dado:NwLUS, Chave :431, OP: 2
Dado:lLOgQ, Chave :431, OP: 3
Dado:ACaRN, Chave :434, OP: 1
Dado:jEQuT, Chave :433, OP: 3
Dado:LDJKl, Chave :431, OP: 6
Dado:PZaLT, Chave :399, OP: 39
Dado:vwQQo, Chave :401, OP: 38
Dado:EDFfW, Chave :439, OP: 1
Dado:LUrCs, Chave :439, OP: 2
Dado:CuNjl, Chave :441, OP: 1
Dado:ihkxO, Chave :439, OP: 4
Dado:yLYVX, Chave :443, OP: 1
Dado:UcSGU, Chave :444, OP: 1
Dado:cUSiR, Chave :444, OP: 2
Dado:MZlaJ, Chave :439, OP: 8
Dado:CytRF, Chave :411, OP: 37
Dado:dHHaO, Chave :399, OP: 50
Dado:uKNmH, Chave :449, OP: 1
Dado:SCaQe, Chave :416, OP: 35
Dado:oVUqc, Chave :409, OP: 43
Dado:KNuWN, Chave :449, OP: 4
Dado:nhUwc, Chave :399, OP: 55
Dado:jdhYg, Chave :399, OP: 56
Dado:VchEd, Chave :455, OP: 1
Dado:cIDhL, Chave :435, OP: 22
Dado:NuSYo, Chave :457, OP: 1
Dado:OLiqT, Chave :419, OP: 40
Dado:taiIP, Chave :459, OP: 1
Dado:GFviQ, Chave :459, OP: 2
Dado:eQfWe, Chave :461, OP: 1
Dado:lwiqG, Chave :459, OP: 4
Dado:VXIMU, Chave :463, OP: 1
Dado:XhRcI, Chave :463, OP: 2
Dado:OMfHe, Chave :465, OP: 1
Dado:MrFZI, Chave :459, OP: 8
Dado:ZINok, Chave :459, OP: 9
Dado:yFvml, Chave :459, OP: 10
Dado:jfHhx, Chave :463, OP: 7
Dado:srVeR, Chave :459, OP: 12
Dado:vEtxt, Chave :471, OP: 1
Dado:TLlMR, Chave :471, OP: 2
Dado:IDbil, Chave :471, OP: 3
Dado:qyKfU, Chave :474, OP: 1
Dado:bmvEW, Chave :475, OP: 1
Dado:lXvhv, Chave :471, OP: 6
Dado:kgvnH, Chave :477, OP: 1
Dado:ciiyR, Chave :474, OP: 5
Dado:bhAGk, Chave :479, OP: 1
Dado:jLPTt, Chave :479, OP: 2
Dado:pBAej, Chave :479, OP: 3
Dado:mZlRk, Chave :479, OP: 4
Dado:bRELf, Chave :483, OP: 1
Dado:rTiPT, Chave :479, OP: 6
Dado:BDUri, Chave :479, OP: 7
Dado:PtBOr, Chave :479, OP: 8
Dado:HcyHn, Chave :487, OP: 1
Dado:NvxnE, Chave :479, OP: 10
Dado:taunp, Chave :483, OP: 7
Dado:cQNYk, Chave :481, OP: 10
Dado:nChsT, Chave :479, OP: 13
Dado:UEsCK, Chave :474, OP: 19
Dado:yIiYp, Chave :464, OP: 30
Dado:yQXkR, Chave :487, OP: 8
Dado:tDClQ, Chave :495, OP: 1
Dado:cLhkJ, Chave :495, OP: 2
Dado:myRAk, Chave :497, OP: 1
Dado:jnQyT, Chave :459, OP: 40
Dado:idGSl, Chave :499, OP: 1
Dado:gsduf, Chave :499, OP: 2
Dado:aAdoM, Chave :499, OP: 3
Dado:udARY, Chave :499, OP: 4
Dado:JJhls, Chave :503, OP: 1
Dado:wdKYK, Chave :499, OP: 6
Dado:diMoe, Chave :499, OP: 7
Dado:CJkgc, Chave :505, OP: 2
Dado:TSYos, Chave :507, OP: 1
Dado:EEEPn, Chave :508, OP: 1
Dado:vmiFi, Chave :509, OP: 1
Dado:aIDMs, Chave :507, OP: 4
Dado:WMXeS, Chave :511, OP: 1
Dado:sdsLZ, Chave :499, OP: 14
Dado:rluaY, Chave :503, OP: 11
Dado:qsbRb, Chave :509, OP: 6
Dado:twOrs, Chave :515, OP: 1
Dado:YNpYm, Chave :503, OP: 14
Dado:GyMME, Chave :506, OP: 12
Dado:AMdLN, Chave :499, OP: 20
Dado:jFjff, Chave :519, OP: 1
Dado:MPaWU, Chave :519, OP: 2
Dado:LwPav, Chave :519, OP: 3
Dado:EfwbJ, Chave :521, OP: 2
Dado:iJLjw, Chave :519, OP: 5
Dado:qUilT, Chave :524, OP: 1
Dado:yvuFe, Chave :525, OP: 1
Dado:IOKje, Chave :524, OP: 3
Dado:HIXeY, Chave :527, OP: 1
Dado:VRWYa, Chave :523, OP: 6
Dado:UBIyq, Chave :529, OP: 1
Dado:BPTba, Chave :519, OP: 12
Dado:YjbbN, Chave :531, OP: 1
Dado:wGuhg, Chave :532, OP: 1
Dado:cdANV, Chave :499, OP: 35
Dado:MkANk, Chave :534, OP: 1
Dado:TDNkd, Chave :535, OP: 1
Dado:DYDjU, Chave :535, OP: 2
Dado:TtwBp, Chave :535, OP: 3
Dado:dimPO, Chave :499, OP: 40
Dado:gUlun, Chave :539, OP: 1
Dado:ZKRDA, Chave :499, OP: 42
Dado:jekqo, Chave :541, OP: 1
Dado:qfuTc, Chave :541, OP: 2
Dado:LvlFL, Chave :543, OP: 1
Dado:smWSq, Chave :544, OP: 1
Dado:FNcjK, Chave :539, OP: 7
Dado:oeSti, Chave :512, OP: 35
Dado:jqBMW, Chave :547, OP: 1
Dado:lmZjC, Chave :479, OP: 70
Dado:JsihP, Chave :549, OP: 1
Dado:KeJPX, Chave :549, OP: 2
Dado:faldA, Chave :551, OP: 1
Dado:CttCQ, Chave :551, OP: 2
Dado:aUdmc, Chave :499, OP: 55
Dado:gkJam, Chave :553, OP: 2
Dado:DyMdM, Chave :555, OP: 1
Dado:uooMr, Chave :556, OP: 1
Dado:weRiQ, Chave :557, OP: 1
Dado:IcuTi, Chave :558, OP: 1
Dado:IPTpA, Chave :559, OP: 1
Dado:ZrjEl, Chave :559, OP: 2
Dado:AtriY, Chave :559, OP: 3
Dado:wgPea, Chave :559, OP: 4
Dado:mRxNg, Chave :559, OP: 5
Dado:lpnAr, Chave :559, OP: 6
Dado:sDlZd, Chave :559, OP: 7
Dado:aIQIR, Chave :560, OP: 7
Dado:rfjNp, Chave :567, OP: 1
Dado:cVpib, Chave :567, OP: 2
Dado:uZESG, Chave :569, OP: 1
Dado:qpgQy, Chave :567, OP: 4
Dado:TjCSY, Chave :567, OP: 5
Dado:EsclU, Chave :564, OP: 9
Dado:ZDXLs, Chave :559, OP: 15
Dado:GNxpR, Chave :559, OP: 16
Dado:IxjYW, Chave :559, OP: 17
Dado:gxyiJ, Chave :559, OP: 18
Dado:cnhmg, Chave :559, OP: 19
Dado:OHxkb, Chave :559, OP: 20
Dado:kLAIG, Chave :579, OP: 1
Dado:jZMZH, Chave :579, OP: 2
Dado:rMwil, Chave :581, OP: 1
Dado:mkrfX, Chave :581, OP: 2
Dado:RGQPY, Chave :581, OP: 3
Dado:meAyK, Chave :584, OP: 1
Dado:Wstsu, Chave :579, OP: 7
Dado:PkLDi, Chave :559, OP: 28
Dado:GfrgE, Chave :587, OP: 1
Dado:HhMlp, Chave :575, OP: 14
Dado:FoCHA, Chave :589, OP: 1
Dado:guZMM, Chave :589, OP: 2
Dado:GOXdO, Chave :591, OP: 1
Dado:TrCtm, Chave :591, OP: 2
Dado:SmLTL, Chave :571, OP: 23
Dado:fjrGS, Chave :567, OP: 28
Dado:BFmjk, Chave :579, OP: 17
Dado:YHJcg, Chave :191, OP: 406
Dado:VuaIV, Chave :13, OP: 585
Dado:kOSGc, Chave :598, OP: 1
Dado:ZnruM, Chave :599, OP: 1
Dado:PFjAa, Chave :599, OP: 2
Dado:sRxHI, Chave :599, OP: 3
Dado:XjKce, Chave :599, OP: 4
Dado:Hdvvr, Chave :599, OP: 5
Dado:xiQyZ, Chave :599, OP: 6
Dado:fXdVt, Chave :599, OP: 7
Dado:PEiKB, Chave :599, OP: 8
Dado:xwxAB, Chave :599, OP: 9
Dado:adNpr, Chave :599, OP: 10
Dado:rYdqU, Chave :599, OP: 11
Dado:hjCbf, Chave :607, OP: 4
Dado:meDGC, Chave :611, OP: 1
Dado:qtYYS, Chave :611, OP: 2
Dado:ReBxZ, Chave :611, OP: 3
Dado:Bycit, Chave :613, OP: 2
Dado:NDhHf, Chave :615, OP: 1
Dado:vmDyJ, Chave :615, OP: 2
Dado:SJuOB, Chave :613, OP: 5
Dado:mTdLB, Chave :599, OP: 20
Dado:LwiWw, Chave :619, OP: 1
Dado:MICiK, Chave :606, OP: 15
Dado:gqbds, Chave :621, OP: 1
Dado:PsXXv, Chave :599, OP: 24
Dado:iZDep, Chave :599, OP: 25
Dado:wvnBD, Chave :619, OP: 6
Dado:pSdcK, Chave :599, OP: 27
Dado:mZQch, Chave :609, OP: 18
Dado:Rorxx, Chave :627, OP: 1
Dado:geLsf, Chave :627, OP: 2
Dado:qJsIN, Chave :629, OP: 1
Dado:MFuCZ, Chave :629, OP: 2
Dado:lgvmA, Chave :631, OP: 1
Dado:LlhxS, Chave :631, OP: 2
Dado:pKcXv, Chave :599, OP: 35
Dado:pKmSt, Chave :599, OP: 36
Dado:tWSvS, Chave :635, OP: 1
Dado:iMNtK, Chave :629, OP: 8
Dado:efvdB, Chave :635, OP: 3
Dado:IawUS, Chave :638, OP: 1
Dado:TfiYX, Chave :639, OP: 1
